歌曲名,专辑,时长,播放链接,歌词
晴天,叶惠美,269,https://y.qq.com/n/yqq/song/0039MnYb0qxYhV.html,"['晴天周杰伦', '词：周杰伦', '曲：周杰伦', '编曲：周杰伦', '故事的小黄花', '从出生那年就飘着', '童年的荡秋千', '随记忆一直晃到现在', '吹着前奏望着天空', '我想起花瓣试着掉落', '为你翘课的那一天', '花落的那一天', '教室的那一间', '我怎么看不见', '消失的下雨天', '我好想再淋一遍', '没想到失去的勇气我还留着', '好想再问一遍', '你会等待还是离开', '刮风这天我试过握着你手', '但偏偏雨渐渐大到我看你不见', '还要多久我才能在你身边', '等到放晴的那天也许我会比较好一点', '从前从前有个人爱你很久', '但偏偏风渐渐把距离吹得好远', '好不容易又能再多爱一天', '但故事的最后你好像还是说了拜拜', '为你翘课的那一天', '花落的那一天', '教室的那一间', '我怎么看不见', '消失的下雨天', '我好想再淋一遍', '没想到失去的勇气我还留着', '好想再问一遍', '你会等待还是离开', '刮风这天我试过握着你手', '但偏偏雨渐渐大到我看你不见', '还要多久我才能在你身边', '等到放晴的那天也许我会比较好一点', '从前从前有个人爱你很久', '偏偏风渐渐把距离吹得好远', '好不容易又能再多爱一天', '但故事的最后你好像还是说了拜拜', '刮风这天我试过握着你手', '但偏偏雨渐渐大到我看你不见', '还要多久我才能够在你身边', '等到放晴那天也许我会比较好一点', '从前从前有个人爱你很久', '但偏偏雨渐渐把距离吹得好远', '好不容易又能再多爱一天', '但故事的最后你好像还是说了拜']"
一路向北,J III MP3 Player,295,https://y.qq.com/n/yqq/song/001xd0HI0X9GNq.html,"['一路向北《头文字》电影插曲周杰伦', '词：方文山', '曲：周杰伦', '后视镜里的世界', '越来越远的道别', '你转身向背侧脸还是很美', '我用眼光去追竟听见你的泪', '在车窗外面徘徊是我错失的机会', '你站的方位跟我中间隔着泪', '街景一直在后退', '你的崩溃在窗外零碎', '我一路向北离开有你的季节', '你说你好累已无法再爱上谁', '风在山路吹', '过往的画面全都是我不对', '细数惭愧我伤你几回', '后视镜里的世界越来越远的道别', '你转身向背侧脸还是很美', '我用眼光去追竟听见你的泪', '在车窗外面徘徊是我错失的机会', '你站的方位跟我中间隔着泪', '街景一直在后退', '你的崩溃在窗外零碎', '我一路向北离开有你的季节', '你说你好累已无法再爱上谁', '风在山路吹', '过往的画面全都是我不对', '细数惭愧我伤你几回', '我一路向北离开有你的季节', '方向盘周围回转着我的后悔', '我加速超越', '却甩不掉紧紧跟随的伤悲', '细数惭愧我伤你几回', '停止狼狈就让错纯粹']"
七里香,七里香,299,https://y.qq.com/n/yqq/song/004Z8Ihr0JIu5s.html,"['七里香周杰伦', '词：方文山', '曲：周杰伦', '编曲：钟兴民', '窗外的麻雀在电线杆上多嘴', '你说这一句很有夏天的感觉', '手中的铅笔在纸上来来回回', '我用几行字形容你是我的谁', '秋刀鱼的滋味猫跟你都想了解', '初恋的香味就这样被我们寻回', '那温暖的阳光像刚摘的鲜艳草莓', '你说你舍不得吃掉这一种感觉', '雨下整夜我的爱溢出就像雨水', '院子落叶跟我的思念厚厚一叠', '几句是非也无法将我的热情冷却', '你出现在我诗的每一页', '雨下整夜我的爱溢出就像雨水', '窗台蝴蝶像诗里纷飞的美丽章节', '我接着写', '把永远爱你写进诗的结尾', '你是我唯一想要的了解', '雨下整夜我的爱溢出就像雨水', '院子落叶跟我的思念厚厚一叠', '几句是非也无法将我的热情冷却', '你出现在我诗的每一页', '那饱满的稻穗幸福了这个季节', '而你的脸颊像田里熟透的蕃茄', '你突然对我说七里香的名字很美', '我此刻却只想亲吻你倔强的嘴', '雨下整夜我的爱溢出就像雨水', '院子落叶跟我的思念厚厚一叠', '几句是非也无法将我的热情冷却', '你出现在我诗的每一页', '整夜我的爱溢出就像雨水', '窗台蝴蝶像诗里纷飞的美丽章节', '我接着写', '把永远爱你写进诗的结尾', '你是我唯一想要的了解']"
等你下课(with 杨瑞代),等你下课,270,https://y.qq.com/n/yqq/song/001J5QJL1pRQYB.html,"['等你下课杨瑞代周杰伦', '词：周杰伦', '曲：周杰伦', '：你住的巷子里', '我租了一间公寓', '为了想与你不期而遇', '高中三年我为什么', '为什么不好好读书', '没考上跟你一样的大学', '我找了份工作', '离你宿舍很近', '当我开始学会做蛋饼', '才发现你不吃早餐', '喔你又擦肩而过', '你耳机听什么', '能不能告诉我', '合：躺在你学校的操场看星空', '教室里的灯还亮着你没走', '记得我写给你的情书', '都什么年代了', '到现在我还在写着', '总有一天总有一年会发现', '有人默默的陪在你的身边', '也许我不该在你的世界', '当你收到情书', '也代表我已经走远', '：学校旁的广场', '我在这等钟声响', '等你下课一起走好吗', '：弹着琴唱你爱的歌', '暗恋一点都不痛苦', '：一点都不痛苦', '：痛苦的是你', '合：根本没看我', '：我唱这么走心', '：这么走心', '：却走不进你心里', '：进你心里', '：在人来人往', '合：找寻着你守护着你', '不求结局', '合：喔', '：你又擦肩', '合：而过', '：我唱告白气球', '终于你回了头', '合：躺在你学校的操场看星空', '教室里的灯还亮着你没走', '记得我写给你的情书', '都什么年代了', '到现在我还在写着', '总有一天总有一年会发现', '有人默默的陪在你的身边', '也许我不该在你的世界', '当你收到情书', '也代表我已经走远']"
稻香,魔杰座,223,https://y.qq.com/n/yqq/song/003aAYrm3GE0Ac.html,"['稻香周杰伦', '词：周杰伦', '曲：周杰伦', '对这个世界如果你有太多的抱怨', '跌倒了就不敢继续往前走', '为什么人要这么的脆弱堕落', '请你打开电视看看', '多少人为生命在努力勇敢的走下去', '我们是不是该知足', '珍惜一切就算没有拥有', '还记得你说家是唯一的城堡', '随着稻香河流继续奔跑', '微微笑小时候的梦我知道', '不要哭让萤火虫带着你逃跑', '乡间的歌谣永远的依靠', '回家吧回到最初的美好', '不要这么容易就想放弃', '就像我说的', '追不到的梦想换个梦不就得了', '为自己的人生鲜艳上色', '先把爱涂上喜欢的颜色', '笑一个吧', '功成名就不是目的', '让自己快乐快乐这才叫做意义', '童年的纸飞机', '现在终于飞回我手里', '所谓的那快乐', '赤脚在田里追蜻蜓追到累了', '偷摘水果被蜜蜂给叮到怕了', '谁在偷笑呢', '我靠着稻草人', '吹着风唱着歌睡着了', '午后吉他在虫鸣中更清脆', '阳光洒在路上就不怕心碎', '珍惜一切就算没有拥有', '还记得你说家是唯一的城堡', '随着稻香河流继续奔跑', '微微笑小时候的梦我知道', '不要哭让萤火虫带着你逃跑', '乡间的歌谣永远的依靠', '回家吧回到最初的美好', '还记得你说家是唯一的城堡', '随着稻香河流继续奔跑', '微微笑小时候的梦我知道', '不要哭让萤火虫带着你逃跑', '乡间的歌谣永远的依靠', '回家吧回到最初的美好']"
告白气球,周杰伦的床边故事,215,https://y.qq.com/n/yqq/song/003OUlho2HcRHC.html,"['告白气球周杰伦', '词：方文山', '曲：周杰伦', '塞纳河畔左岸的咖啡', '我手一杯品尝你的美', '留下唇印的嘴', '花店玫瑰名字写错谁', '告白气球风吹到对街', '微笑在天上飞', '你说你有点难追', '想让我知难而退', '礼物不需挑最贵', '只要香榭的落叶', '喔营造浪漫的约会', '不害怕搞砸一切', '拥有你就拥有全世界', '亲爱的爱上你', '从那天起', '甜蜜的很轻易', '亲爱的别任性', '你的眼睛', '在说我愿意', '塞纳河畔左岸的咖啡', '我手一杯品尝你的美', '留下唇印的嘴', '花店玫瑰名字写错谁', '告白气球风吹到对街', '微笑在天上飞', '你说你有点难追', '想让我知难而退', '礼物不需挑最贵', '只要香榭的落叶', '喔营造浪漫的约会', '不害怕搞砸一切', '拥有你就拥有全世界', '亲爱的爱上你', '从那天起', '甜蜜的很轻易', '亲爱的别任性', '你的眼睛', '在说我愿意', '亲爱的爱上你', '恋爱日记', '飘香水的回忆', '一整瓶的梦境', '全都有你', '搅拌在一起', '亲爱的别任性', '你的眼睛', '在说我愿意']"
夜曲,十一月的萧邦,226,https://y.qq.com/n/yqq/song/001zMQr71F1Qo8.html,"['夜曲周杰伦', '词：方文山', '曲：周杰伦', '编曲：林迈可', '一群嗜血的蚂蚁被腐肉所吸引', '我面无表情看孤独的风景', '失去你爱恨开始分明', '失去你还有什么事好关心', '当鸽子不再象征和平', '我终于被提醒', '广场上喂食的是秃鹰', '我用漂亮的押韵', '形容被掠夺一空的爱情', '啊乌云开始遮蔽夜色不干净', '公园里葬礼的回音在漫天飞行', '送你的白色玫瑰', '在纯黑的环境凋零', '乌鸦在树枝上诡异的很安静', '静静听我黑色的大衣', '想温暖你日渐冰冷的回忆', '走过的走过的生命', '啊四周弥漫雾气', '我在空旷的墓地', '老去后还爱你', '为你弹奏肖邦的夜曲', '纪念我死去的爱情', '跟夜风一样的声音', '心碎的很好听', '手在键盘敲很轻', '我给的思念很小心', '你埋葬的地方叫幽冥', '为你弹奏肖邦的夜曲', '纪念我死去的爱情', '而我为你隐姓埋名', '在月光下弹琴', '对你心跳的感应', '还是如此温热亲近', '怀念你那鲜红的唇印', '那些断翅的蜻蜓散落在这森林', '而我的眼睛没有丝毫同情', '失去你泪水混浊不清', '失去你我连笑容都有阴影', '风在长满青苔的屋顶', '嘲笑我的伤心', '像一口没有水的枯井', '我用凄美的字型', '描绘后悔莫及的那爱情', '为你弹奏肖邦的夜曲', '纪念我死去的爱情', '跟夜风一样的声音', '心碎的很好听', '手在键盘敲很轻', '我给的思念很小心', '你埋葬的地方叫幽冥', '为你弹奏肖邦的夜曲', '纪念我死去的爱情', '而我为你隐姓埋名', '在月光下弹琴', '对你心跳的感应', '还是如此温热亲近', '怀念你那鲜红的唇印', '一群嗜血的蚂蚁被腐肉所吸引', '我面无表情看孤独的风景', '失去你爱恨开始分明', '失去你还有什么事好关心', '当鸽子不再象征和平', '我终于被提醒', '广场上喂食的是秃鹰', '我用漂亮的押韵', '形容被掠夺一空的爱情']"
搁浅,七里香,240,https://y.qq.com/n/yqq/song/001Bbywq2gicae.html,"['搁浅周杰伦', '词：宋健彰', '曲：周杰伦', '久未放晴的天空', '依旧留着你的笑容', '哭过却无法掩埋歉疚', '风筝在阴天搁浅', '想念还在等待救援', '我拉着线复习你给的温柔', '曝晒在一旁的寂寞', '笑我给不起承诺', '怎么会怎么会你竟原谅了我', '我只能永远读着对白', '读着我给你的伤害', '我原谅不了我', '就请你当作我已不在', '我睁开双眼看着空白', '忘记你对我的期待', '读完了依赖', '我很快就离开', '久未放晴的天空', '依旧留着你的笑容', '哭过却无法掩埋歉疚', '风筝在阴天搁浅', '想念还在等待救援', '我拉着线复习你给的温柔', '曝晒在一旁的寂寞', '笑我给不起承诺', '怎么会怎么会你竟原谅了我', '我只能永远读着对白', '读着我给你的伤害', '我原谅不了我', '就请你当作我已不在', '我睁开双眼看着空白', '忘记你对我的期待', '读完了依赖', '我很快就', '我只能永远读着对白', '读着我给你的伤害', '我原谅不了我', '就请你当作我已不在', '我睁开双眼看着空白', '忘记你对我的期待', '读完了依赖', '我很快就离开']"
以父之名,叶惠美,342,https://y.qq.com/n/yqq/song/001n4C3p1yv0FU.html,"['以父之名周杰伦', '词：黄俊郎', '曲：周杰伦', 'ìì', '微凉的晨露沾湿黑礼服', '石板路有雾父在低诉', '无奈的觉悟只能更残酷', '一切都为了通往圣堂的路', '吹不散的雾隐没了意图', '谁轻柔踱步停住', '还来不及哭穿过的子弹就带走温度', '我们每个人都有罪', '犯着不同的罪', '我能决定谁对', '谁又该要沉睡', '争论不能解决', '在永无止境的夜', '关掉你的嘴', '唯一的恩惠', '挡在前面的人都有罪', '后悔也无路可退', '以父之名判决', '那感觉没有适合字汇', '就像边笑边掉泪', '凝视着完全的黑', '阻挡悲剧蔓延的悲剧会让我沉醉', '低头亲吻我的左手', '换取被宽恕的承诺', '老旧管风琴在角落', '一直一直一直伴奏', '黑色帘幕被风吹动', '阳光无言地穿透', '洒向那群被我驯服后的兽', '沉默地喊叫沉默地喊叫', '孤单开始发酵', '不停对着我嘲笑', '回忆逐渐延烧', '曾经纯真的画面', '残忍地温柔出现', '脆弱时间到', '我们一起来祷告', '仁慈的父我已坠入', '看不见罪的国度', '请原谅我的自负', '没人能说没人可说', '好难承受', '荣耀的背后刻着一道孤独', '闭上双眼我又看见', '当年那梦的画面', '天空是濛濛的雾', '父亲牵着我的双手', '轻轻走过', '清晨那安安静静的石板路', '低头亲吻我的左手', '换取被宽恕的承诺', '老旧管风琴在角落', '一直一直一直伴奏', '黑色帘幕被风吹动', '阳光无言地穿透', '洒向那群被我驯服后的兽', '沉默地喊叫沉默地喊叫', '孤单开始发酵', '不停对着我嘲笑', '回忆逐渐延烧', '曾经纯真的画面', '残忍地温柔出现', '脆弱时间到', '我们一起来祷告', '仁慈的父我已坠入', '看不见罪的国度', '请原谅我的自负', '没人能说没人可说', '好难承受', '荣耀的背后刻着一道孤独', '仁慈的父我已坠入', '看不见罪的国度', '请原谅我我的自负', '刻着一道孤独', '仁慈的父我已坠入', '看不见罪的国度', '请原谅我的自负', '没人能说没人可说', '好难承受', '荣耀的背后刻着一道孤独', '闭上双眼我又看见当年那梦的画面', '孤独的光辉我才懂的感觉', '天空是濛濛的雾', '猫头鹰在窗棂上对着远方眺望', '通向大厅的长廊', '一样说不出的沧桑', '没有喧嚣只有宁静围绕', '我慢慢睡着天刚刚破晓']"
不能说的秘密,不能说的秘密 电影原声带,296,https://y.qq.com/n/yqq/song/002MXZNu1GToOk.html,"['不能说的秘密《不能说的秘密》电影插曲周杰伦', '词：方文山', '曲：周杰伦', '编曲：林迈可', '冷咖啡离开了杯垫', '我忍住的情绪在很后面', '拼命想挽回的从前', '在我脸上依旧清晰可见', '最美的不是下雨天', '是曾与你躲过雨的屋檐', '回忆的画面在荡着秋千', '梦开始不甜', '你说把爱渐渐放下会走更远', '又何必去改变已错过的时间', '你用你的指尖阻止我说再见', '想象你在身边在完全失去之前', '你说把爱渐渐放下会走更远', '或许命运的签只让我们遇见', '只让我们相恋这一季的秋天', '飘落后才发现这幸福的碎片', '要我怎么捡', '冷咖啡离开了杯垫', '我忍住的情绪在很后面', '拼命想挽回的从前', '在我脸上依旧清晰可见', '最美的不是下雨天', '是曾与你躲过雨的屋檐', '回忆的画面在荡着秋千', '梦开始不甜', '你说把爱渐渐放下会走更远', '又何必去改变已错过的时间', '你用你的指尖阻止我说再见', '想象你在身边在完全失去之前', '你说把爱渐渐放下会走更远', '或许命运的签只让我们遇见', '只让我们相恋这一季的秋天', '飘落后才发现这幸福的碎片', '要我怎么捡']"
